2021-08-01 13:54:47 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/fisicayquimica-4eso/contenidos-del-curriculo-con-enlaces-a-recursos-4-eso-fisica-y-quimica
2021-08-01 13:54:47 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:54:47 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://aprendiendociencias.wordpress.com/fisica-y-quimica-para-4%C2%BA-eso/
2021-08-01 13:54:48 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://aprendiendociencias.wordpress.com/category/4-eso/
2021-08-01 13:54:49 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://fyq4eso.wordpress.com/
2021-08-01 13:54:49 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://recursostic.educacion.es/secundaria/edad/4esofisicaquimica/4quincena8/4q8_index.htm
2021-08-01 13:54:50 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://recursostic.educacion.es/secundaria/edad/3esofisicaquimica/3quincena6/3q6_index.htm
2021-08-01 13:54:50 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://recursostic.educacion.es/secundaria/edad/3esofisicaquimica/3quincena6/actividades6/masa_ponderada.htm
2021-08-01 13:54:50 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/fisicayquimica-4eso/curriculofisicayquimica-4eso
2021-08-01 13:54:50 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:54:50 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/fisicayquimica-4eso/curriculo-fisica-y-quimica-4-eso-lomce
2021-08-01 13:54:50 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:54:50 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://twitter.com/FiQuiPedia/status/645638063050346496
2021-08-01 13:54:50 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/fisica-y-quimica-3-eso/curriculofisicayquimica-3eso
2021-08-01 13:54:50 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:54:50 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/fisica-y-quimica-3-eso/curriculo-3-eso-fisica-y-quimica-lomce
2021-08-01 13:54:50 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:54:50 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/fisica-y-quimica-3-eso/cotenidoscurriculoenlacesrecursos3esofisicayquimica
2021-08-01 13:54:50 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:54:51 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/fisica-y-quimica-2-eso/recursos-fisica-y-quimica-2-eso
2021-08-01 13:54:51 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:54:51 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://fisquiweb.es/Apuntes/apun2.htm
2021-08-01 13:54:51 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://clasesfisicayquimica.blogspot.com.es/p/fisica-y-quimica-2-eso.html
2021-08-01 13:54:51 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://fq.iespm.es/index.php/secundaria-obligatoria/fisica-y-quimica-2-eso/materiales
2021-08-01 13:54:54 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://fisicayquimicaenflash.es/eso/eso.html
2021-08-01 13:54:54 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www3.gobiernodecanarias.org/medusa/ecoblog/mramrodp/category/cna-2o-eso/
2021-08-01 13:55:37 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.educa2.madrid.org/web/clasefyq/fq-2-eso
2021-08-01 13:55:39 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title https://www.youtube.com/playlist?list=PL16zm8z0lIv16dqCv1Z_8q-c2cd1nigUH
2021-08-01 13:55:39 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.cuadernosdepedagogia.com/Content/Documento.aspx?params=H4sIAAAAAAAEAFXMuwrDMAxG4bfxrDoknTTFj-C9qNFvMDVScS6Qt2-zFHrmw1dVOWX6NtyGaZzCgb5WN44Uie6Rgrkip5l3U5Rq0Gup5Uy-5PMNLtJWBDzdX3_S4ycsDdKTbJilwVQ6577jAwZVn2N6AAAAWKE
2021-08-01 13:55:42 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://currofisico.blogspot.com/p/materiales.html
2021-08-01 13:55:43 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://6con02.com/24-bloques/ciencias-naturales/14-b-%C2%B7-cuaderno-verano-2%C2%BA-eso.html
2021-08-01 13:55:43 WARNING  [146]URLUtils.py: Error reading URL: http://6con02.com/24-bloques/ciencias-naturales/14-b-%C2%B7-cuaderno-verano-2%C2%BA-eso.html : Not Found
